       time,     latitude,    longitude,depth,        mag,place
2021-12-09,28.57,-17.83,0.1,5,La Palma volcano
2021-01-09,28.2406,-16.6664,12,0.6,NW VILAFLOR DE CHASNA.ITF
2021-01-09,28.1732,-16.6438,16,0.5,NW VILAFLOR DE CHASNA.ITF
2021-01-09,28.2324,-16.7008,17,0.4,NE GUÃA DE ISORA.ITF
2021-01-09,27.7208,-18.2253,35,2.4,W FRONTERA.IHI
2021-01-09,27.7455,-18.2294,22,2,W FRONTERA.IHI
2021-01-09,28.097,-16.4704,15,1.5,S ARICO.ITF
2021-02-09,27.6147,-18.0804,11,1.2,SW EL PINAR DE EL HIERRO.IHI
2021-02-09,28.6663,-13.6397,5,2,ATLÃNTICO-CANARIAS
2021-02-09,28.6358,-17.8676,14,1.3,SE EL PASO.ILP
2021-02-09,28.2288,-15.3385,37,1.8,NE LAS PALMAS DE GRAN CANARIA.
2021-02-09,27.8799,-16.3207,16,1.5,ATLÃNTICO-CANARIAS
2021-03-09,29.2911,-16.2253,34,2.2,ATLÃNTICO-CANARIAS
2021-03-09,27.7681,-18.1531,20,1.9,W FRONTERA.IHI
2021-03-09,28.089,-16.1325,8,1.5,ATLÃNTICO-CANARIAS
2021-04-09,28.0575,-16.2118,10,1.1,ATLÃNTICO-CANARIAS
2021-04-09,28.0728,-16.2217,            ,0.9,ATLÃNTICO-CANARIAS
2021-04-09,28.1413,-16.7544,8,0,NW ADEJE.ITF
2021-04-09,28.0622,-16.2106,6,1.1,ATLÃNTICO-CANARIAS
2021-04-09,28.047,-16.183,6,1.1,ATLÃNTICO-CANARIAS
2021-04-09,28.3662,-16.664,            ,0.9,SW LA GUANCHA.ITF
2021-04-09,28.0771,-16.1924,6,1.5,ATLÃNTICO-CANARIAS
2021-04-09,28.1619,-16.7172,29,0.5,N ADEJE.ITF
2021-04-09,28.0889,-16.1826,4,1.4,ATLÃNTICO-CANARIAS
2021-06-09,27.6955,-18.2314,25,1.7,W FRONTERA.IHI
2021-06-09,28.0969,-16.2489,23,1.5,ATLÃNTICO-CANARIAS
2021-06-09,27.7215,-18.1397,38,2.2,W FRONTERA.IHI
2021-06-09,28.164,-16.2075,8,1.2,ATLÃNTICO-CANARIAS
2021-06-09,28.3958,-16.6599,18,0.4,W SAN JUAN DE LA RAMBLA.ITF
2021-07-09,28.2379,-16.6777,10,0.2,NW VILAFLOR DE CHASNA.ITF
2021-07-09,28.1518,-16.6552,12,0.7,W VILAFLOR DE CHASNA.ITF
2021-07-09,28.5789,-17.8573,9,1.1,SE EL PASO.ILP
2021-07-09,28.4336,-15.4914,22,1.4,ATLÃNTICO-CANARIAS
2021-07-09,27.9794,-16.2902,            ,1.2,ATLÃNTICO-CANARIAS
2021-07-09,28.0727,-16.1447,12,1.8,ATLÃNTICO-CANARIAS
2021-07-09,28.1725,-16.7292,5,1.3,N ADEJE.ITF
2021-07-09,28.2473,-16.7908,            ,0.6,NW GUÃA DE ISORA.ITF
2021-08-09,27.6449,-18.021,12,3.2,SW EL PINAR DE EL HIERRO.IHI
2021-09-09,28.578,-17.7931,13,1.2,SW VILLA DE MAZO.ILP
2021-09-09,28.1372,-16.7373,7,0.7,NW ADEJE.ITF
2021-09-09,27.9521,-16.3323,4,1.1,ATLÃNTICO-CANARIAS
2021-09-09,28.1239,-16.1873,28,1.4,ATLÃNTICO-CANARIAS
2021-09-09,28.1508,-16.744,5,0.2,NW ADEJE.ITF
2021-10-09,28.0951,-16.1757,32,2.1,ATLÃNTICO-CANARIAS
2021-10-09,29.9758,-16.2206,5,2.4,ATLÃNTICO-CANARIAS
2021-10-09,28.0899,-16.1303,4,2,ATLÃNTICO-CANARIAS
2021-11-09,28.5675,-17.8705,11,1.5,N FUENCALIENTE DE LA PALMA.ILP
2021-11-09,28.5647,-17.8361,10,1.1,NE FUENCALIENTE DE LA PALMA.IL
2021-11-09,28.5503,-17.85,11,1.1,N FUENCALIENTE DE LA PALMA.ILP
2021-11-09,28.2475,-16.3445,26,1.3,E FASNIA.ITF
2021-11-09,28.568,-17.8179,10,1.1,SW VILLA DE MAZO.ILP
2021-11-09,28.5115,-17.8205,13,1.2,E FUENCALIENTE DE LA PALMA.ILP
2021-11-09,28.5605,-17.8478,12,1.2,N FUENCALIENTE DE LA PALMA.ILP
2021-11-09,28.556,-17.8362,11,1.1,NE FUENCALIENTE DE LA PALMA.IL
2021-11-09,28.569,-17.8198,10,1.4,SW VILLA DE MAZO.ILP
2021-11-09,28.5774,-17.8277,9,1.1,SW VILLA DE MAZO.ILP
2021-11-09,28.5837,-17.8075,11,1.2,SW VILLA DE MAZO.ILP
2021-11-09,28.5477,-17.831,13,1,NE FUENCALIENTE DE LA PALMA.IL
2021-12-09,28.5771,-17.8346,12,1.1,SW VILLA DE MAZO.ILP
2021-12-09,28.5747,-17.8041,11,1.4,SW VILLA DE MAZO.ILP
2021-12-09,28.5593,-17.8379,10,1.2,NE FUENCALIENTE DE LA PALMA.IL
2021-12-09,28.5697,-17.8304,11,1.1,SW VILLA DE MAZO.ILP
2021-12-09,28.5572,-17.8512,11,0.9,N FUENCALIENTE DE LA PALMA.ILP
2021-12-09,28.5657,-17.8279,12,1.1,SW VILLA DE MAZO.ILP
2021-12-09,28.5265,-17.8573,12,1.3,N FUENCALIENTE DE LA PALMA.ILP
2021-12-09,28.5616,-17.8791,12,1.3,NW FUENCALIENTE DE LA PALMA.IL
2021-12-09,28.5605,-17.8271,12,1.3,SW VILLA DE MAZO.ILP
2021-12-09,28.567,-17.8242,12,1.1,SW VILLA DE MAZO.ILP
2021-12-09,28.5618,-17.8313,13,1.1,NE FUENCALIENTE DE LA PALMA.IL
2021-12-09,28.5756,-17.8355,11,1.1,SW VILLA DE MAZO.ILP
2021-12-09,28.5715,-17.8195,10,0.8,SW VILLA DE MAZO.ILP
2021-12-09,28.5524,-17.844,11,0.9,NE FUENCALIENTE DE LA PALMA.IL
2021-12-09,28.5332,-17.8132,13,1.4,NE FUENCALIENTE DE LA PALMA.IL
2021-12-09,28.5592,-17.8279,13,1,NE FUENCALIENTE DE LA PALMA.IL
2021-12-09,28.555,-17.8538,11,1,N FUENCALIENTE DE LA PALMA.ILP
2021-12-09,28.1189,-16.2558,10,1.2,ATLÃNTICO-CANARIAS
2021-12-09,28.5759,-17.7977,12,1,SW VILLA DE MAZO.ILP
2021-12-09,28.563,-17.8483,11,1.2,N FUENCALIENTE DE LA PALMA.ILP
2021-12-09,28.5656,-17.8272,12,1.4,SW VILLA DE MAZO.ILP
2021-12-09,28.5609,-17.8438,11,1.1,N FUENCALIENTE DE LA PALMA.ILP
2021-12-09,28.565,-17.8418,12,1.4,N FUENCALIENTE DE LA PALMA.ILP
2021-12-09,28.5659,-17.8406,10,1.8,NE FUENCALIENTE DE LA PALMA.IL
2021-12-09,28.5624,-17.8637,12,1.8,N FUENCALIENTE DE LA PALMA.ILP
2021-12-09,28.5568,-17.8627,13,1.8,N FUENCALIENTE DE LA PALMA.ILP
